iter	Logloss
0	0.6300628777
1	0.570852215
2	0.5246883781
3	0.4937015946
4	0.4507655469
5	0.4178657846
6	0.4007347491
7	0.3775831691
8	0.3525789771
9	0.3329455206
10	0.3151471188
11	0.2999598018
12	0.2844745387
13	0.2721732426
14	0.2599532738
15	0.2503603956
16	0.2410481184
17	0.2332295906
18	0.22602496
19	0.2229908979
20	0.2182067727
21	0.2142283116
22	0.2099091633
23	0.2079575698
24	0.2045805131
25	0.2021854352
26	0.1974878712
27	0.1945189871
28	0.192514243
29	0.1907101916
30	0.1869148306
31	0.1856626159
32	0.1847140347
33	0.1832580542
34	0.1814816103
35	0.1785985925
36	0.1768561671
37	0.1761905853
38	0.174721338
39	0.1735195189
40	0.1723909882
41	0.1714118415
42	0.1697637955
43	0.1691315559
44	0.1682987719
45	0.1673629457
46	0.1663568819
47	0.16518046
48	0.1644798627
49	0.163397928
50	0.1619302506
51	0.1607314522
52	0.1594235292
53	0.1582656136
54	0.1573878831
55	0.156419444
56	0.1552815023
57	0.1542491922
58	0.1533697511
59	0.1525822136
60	0.1520829514
61	0.151567519
62	0.1508480417
63	0.1498141898
64	0.1490308281
65	0.1480790392
66	0.1471693733
67	0.1463391651
68	0.1459179929
69	0.1448731575
70	0.1444160705
71	0.1439557769
72	0.1432417949
73	0.1427792295
74	0.1421377004
75	0.1412674439
76	0.1404130033
77	0.1395559342
78	0.1392246416
79	0.1385326566
80	0.137873237
81	0.137234188
82	0.1364857489
83	0.1357066489
84	0.1349610174
85	0.1344851346
86	0.1338618365
87	0.132919216
88	0.1317281647
89	0.1313078991
90	0.1307619565
91	0.1300946453
92	0.1291519978
93	0.1283062362
94	0.1277865345
95	0.1273017191
96	0.1263507797
97	0.1261524891
98	0.1256759263
99	0.1246768654
100	0.1241209977
101	0.1238956773
102	0.1229069531
103	0.1224727178
104	0.1217765619
105	0.1211865847
106	0.1206774668
107	0.1200376498
108	0.1194897128
109	0.1188356722
110	0.1183457868
111	0.1180439164
112	0.1171976518
113	0.1164444966
114	0.1159672102
115	0.1153171652
116	0.1147625521
117	0.1135930361
118	0.1127834382
119	0.1123042812
120	0.1116017676
121	0.1112176228
122	0.1105802111
123	0.1100490685
124	0.109548951
125	0.1091319912
126	0.1085424567
127	0.1081996246
128	0.107813187
129	0.107537995
130	0.1071950176
131	0.1068920332
132	0.1064640589
133	0.1060743248
134	0.105642025
135	0.1052913804
136	0.1046852593
137	0.1038304319
138	0.1034742418
139	0.1024282765
140	0.1019744776
141	0.1011815939
142	0.100620864
143	0.1001618394
144	0.09962921536
145	0.0992839597
146	0.09888143049
147	0.09859909602
148	0.09824552818
149	0.09703161453
150	0.09661807566
151	0.09604065988
152	0.09592241867
153	0.0957232866
154	0.09558359353
155	0.09513506387
156	0.09491680825
157	0.09433082894
158	0.0939560465
159	0.09348708292
160	0.09327338698
161	0.09288378178
162	0.09216892855
163	0.09161760083
164	0.0912267414
165	0.0906169089
166	0.09032231715
167	0.09005922466
168	0.08877271915
169	0.08822781867
170	0.08800027905
171	0.08769294565
172	0.08717289394
173	0.08678515049
174	0.08647227904
175	0.0862092998
176	0.08593906857
177	0.08569271768
178	0.08490283032
179	0.08424295099
180	0.08413032287
181	0.08399476319
182	0.08350559905
183	0.08316615177
184	0.08293900303
185	0.08283791951
186	0.0824226356
187	0.08218311534
188	0.08205416348
189	0.08157306592
190	0.08109283394
191	0.08092694225
192	0.07975035307
193	0.07944817092
194	0.079062847
195	0.07875695054
196	0.07840988445
197	0.07820999809
198	0.07785563907
199	0.07725383074
